카드 제목,속성,레벨,종족,atk,def
"""RESORT"" STAFF－차밍",빛,레벨 3,[천사족/효과],공격력 300,수비력 200
13번째 매장자,어둠,레벨 3,[언데드족/일반],공격력 1200,수비력 900
7가지 무기를 가진 헌터,땅,레벨 3,[전사족/효과],공격력 1000,수비력 600
8쌍 다리 스콜피온,어둠,레벨 2,[곤충족/효과],공격력 300,수비력 200
A BF－안개비의 쿠나이,어둠,레벨 5,[비행야수족/효과],공격력 2100,수비력 1600
A 보옥수 루비 카번클,빛,레벨 3,[천사족/효과],공격력 300,수비력 300
A 보옥수 사파이어 페가수스,바람,레벨 4,[야수족/효과],공격력 1800,수비력 1200
A 보옥수 애머지스트 캣,땅,레벨 3,[야수족/효과],공격력 1200,수비력 400
A 보옥수 앰버 맘모스,땅,레벨 4,[야수족/효과],공격력 1700,수비력 1600
A 보옥수 에머랄드 터틀,물,레벨 3,[물족/효과],공격력 600,수비력 2000
A 보옥수 코발트 이글,바람,레벨 4,[비행야수족/효과],공격력 1400,수비력 800
A 보옥수 토파즈 타이거,땅,레벨 4,[야수족/효과],공격력 1600,수비력 1000
AD 체인저,빛,레벨 1,[전사족/효과],공격력 100,수비력 100
A·O·J D.D. 체커,어둠,레벨 4,[기계족/효과],공격력 1700,수비력 1200
A·O·J 갈라드홀그,어둠,레벨 4,[기계족/효과],공격력 1600,수비력 400
A·O·J 루드라,어둠,레벨 5,[기계족/효과],공격력 1900,수비력 1200
A·O·J 리버스 브레이크,어둠,레벨 4,[기계족/효과],공격력 1200,수비력 1200
A·O·J 리서처,어둠,레벨 3,[기계족/효과],공격력 1400,수비력 100
A·O·J 리설 웨폰,어둠,레벨 5,[기계족/효과],공격력 2200,수비력 800
A·O·J 블라인드 서커,어둠,레벨 4,[기계족/효과],공격력 1600,수비력 1200
A·O·J 사우전드 암즈,어둠,레벨 4,[기계족/효과],공격력 1700,수비력 0
A·O·J 사이클리더,어둠,레벨 3,[기계족/튜너/효과],공격력 1000,수비력 1000
A·O·J 싸이크론 크리에이터,어둠,레벨 3,[기계족/튜너/효과],공격력 1400,수비력 1200
A·O·J 썬더 아머,어둠,레벨 8,[기계족/효과],공격력 2700,수비력 2200
A·O·J 언논 크러셔,어둠,레벨 3,[기계족/효과],공격력 1200,수비력 800
A·O·J 언리미터,어둠,레벨 2,[기계족/효과],공격력 600,수비력 200
A·O·J 에너미 캐처,어둠,레벨 6,[기계족/효과],공격력 1800,수비력 1800
A·O·J 코어 디스트로이,어둠,레벨 3,[기계족/효과],공격력 1200,수비력 200
A·O·J 코즈믹 클로저,어둠,레벨 8,[기계족/효과],공격력 2400,수비력 1200
A·O·J 클라우솔라스,어둠,레벨 6,[기계족/일반],공격력 2300,수비력 1200
A·마인드,어둠,레벨 5,[기계족/튜너/일반],공격력 1800,수비력 1400
A·제넥스 둘다크,어둠,레벨 4,[기계족/효과],공격력 1800,수비력 200
